X,Z
14.68,18.79
79.43,18.81
110.79,18.86
148.74,19.38
166.44,19.58
186.68,19.73
198.96,19.33
208.6,19.08
218.29,18.82
238.95,18.51
246.37,18.23
256.94,17.82
262.56,17.32
264,17.11
268.63,16.8
275.2,16.48
276.05,16.01
290.38,15.69
291.22,15.41
297.97,14.75
303.03,14.9925
308.09,14.58875
316.94,14.13
328.32,13.93
330.01,13.68
340.12,13.46
353.61,13.22
353.61,13.03
362.47,12.79
378.35,12.47
380.59,11.95
396.98,11.7
404.2,11.2
405.65,10.96
415.76,10.71
415.76,10.45
421.55,10
424.44,10.23
424.44,9.2075
464.91,8.82
469.97,8.36
475.02,7.73
480.54,7.46
483.7,8.13
505.38,8.49
507.4,8.75
507.63,9.57
515.49,9.94
525.61,9.9775
525.61,10.47
527.86,10.88
532.36,11.13
535.73,11.29
542.47,11.58
550.91,11.98
616.67,12.11
670.02,12.29
733.74,12.37
772.77,12.17
804.57,11.95
923.57,11.99
965.72,12.23
1004.51,12.46
1014.14,12.78
1027.69,13.07
1035.82,13.36
1044.13,14.03
1077.02,14.32
1101.3,14
1157.23,13.62
1217.94,13.49
1249.74,13.3
1280.09,13.07
1304.66,12.86
1318.15,12.62
1328.27,12.37
1331.64,12.12
1342.6,11.69
1355.25,11.45
1361.99,11.18
1375.48,10.9
1384.33,10.57
1385.6,10.465
1398.61,10.3
1412.58,10.04
1428.96,9.79
1448.83,9.49
1486.77,9.34
1572.77,9.73
1614.93,10.02
1623.36,10.28
1645.28,10.56
1653.71,10.83
1670.15,11.08
1684.07,11.44
1694.18,11.83
1706.6,12.19
1714.98,12.59
1721.72,12.94
1732.97,13.24
1755.45,13.52
1765.01,13.98
1805.48,13.92
1815.59,13.66
1824.02,13.38
1854.8,13.14
1916.77,13.21
1977.47,13.15
2035.37,13.09
2225.35,13.01
2242.7,13.47
2262.93,13.68
2321.47,13.87
2326.53,13.96
2393.98,13.99
2414.69,14.22
2435.29,14.47
2458.05,14.73
2475.4,14.96
2493.46,15.23
2513.7,15.46
2533.93,15.7
2553.45,15.93
2578.45,16.22
2632.81,16.46
2693.29,16.68
2731.23,16.91
2781.81,16.83
2806.1,16.68
2833.85,16.48
2847.58,16.28
2871.18,16.18
2898.16,16.59
2918.4,16.87
3014.52,16.52
3016.76,16.94
3031.86,17.26
3039.81,17.51
3100.51,17.64
3110.63,17.87
3119.48,18.15
3133.04,18.44
3140.98,18.7
3151.1,18.92
3211.08,19.05
3274.2,19.17
3320.06,19.12
3336.83,18.87
3454.63,18.88
3490.04,18.86
3495.82,18.59
3514.61,18.34
3553.63,18.07
3555.8,18.15
3602.34,17.87
3612.71,17.55
3621.57,17.29
3626.62,17.08
3633.13,16.84
3644.56,16.58
3688.05,17.06
3688.59,17.33
3740.45,16.62
3749.3,16.35
3768.27,16.16
3793.56,16.84
3803.68,16.69
3813.8,16.99
3813.8,17.54
3818.86,17.29
3821.89,17.71
3862.94,17.94
3864.39,18.2
3921.72,18.34
3978.21,18.16
4011.09,17.99
4042.16,18.2
4063.84,18.44
4076.85,18.66
4081.91,18.95
4102.15,19.3
4122.38,19.58
4183.09,19.67
4236.48,19.62
4253.19,19.32
4255.6,19.04
4274.14,18.61
4277.76,18.84
4283.7,18.37
4297.99,18.16
4319.67,18.69
4324.73,19.07
4324.73,18.87
4326.42,18.45
4335.41,19.33
4337.88,19.98
4385.44,19.87
4406.39,19.67
4446.14,19.47
4486.61,19.26
4530.3,19.05
4549,19.25
4558,19.47
4565.38,19.79
4592.85,19.89
4646.32,19.74
4667.04,19.52
4668.73,19.29
4668.73,19.08
4678.84,18.87
4680.87,18.36
4697.39,18.02
4719.31,18.23
4724.37,18.47
4729.43,19.05
4729.43,18.85
4734.49,18.66
4739.55,19.29
4749.67,19.63
4759.78,19.94
4773.51,20.13
4812.9,20.02
4840.72,19.82
4885.24,19.61
4916.61,19.58
4923.35,20.32
4935.39,20.57
4979.33,20.44
5005.13,20.25
5051.51,20.08
5093.66,19.87
5135.82,19.68
5183.03,19.48
5226.87,19.27
5275.78,19.06
5336.48,18.96
5397.19,18.92
5457.89,18.86
5518.6,18.82
5584.36,18.8
5632.19,19.12
5638.32,18.72
5640.01,17.99
5643.62,18.4
5645.06,18.19
5649.4,17.78
5655.18,17.53
5655.18,17.33
5665.3,16.49
5665.3,16.29
5665.3,16.08
5665.3,15.87
5675.42,14.71
5675.42,15.12
5695.65,13.41
5695.65,13.2
5695.65,12.99
5695.65,12.78
5702.4,11.92
5715.89,11.71
5726,11.29
5726,11.09
5736.12,10.84
5742.87,10.39
5746.24,10.61
5754.67,10.16
5756.36,9.93
5770.27,9.65
5776.59,9.38
5779.12,9.2
5786.71,9.01
5786.71,8.83
5799.08,8.57
5801.89,8.05
5810.32,8.26
5815.62,7.76
5832.24,7.44
5857.53,7.19
5873.72,7.06
5898,7.24
5913.18,7.5
5918.24,7.8
5918.24,8
5925.46,8.21
5933.41,8.46
5943.53,8.69
5953.65,8.92
5963.77,9.16
5973.88,9.38
5984,9.61
5984.72,10
6039.65,9.97
6064.94,9.74
6075.06,9.54
6100.35,9.39
6130.7,9.41
6156,9.63
6198.15,10.41
6201.53,10.72
6215.44,11
6225.13,11.29
6226.82,11.43375
6233.14,11.59
6252.11,11.86
6254.36,12.13
6268.56,12.47
6275.24,12.77
6288.79,13.06
6297.64,13.34
6302.7,13.59
6312.82,13.76
6328.72,13.95
6388.7,14.03
6446.88,14.23
6458.26,14.64
6464.58,14.78
6466.83,15.05
6469.64,15.59
6486.26,15.78
6499.99,16.22
6510.11,16.6
6523.84,16.86
6613.82,17.07
6616.34,17.35
6623.7,17.65
6643.81,17.95
6661.87,18.27
6682.11,18.67
6742.81,18.78
6765.22,18.56
6768.11,18.11
6783.28,17.91
6788.34,17.45
6788.34,17.25
6793.4,17.05
6799.9,16.56
6813.18,16.28
6822.07,16.18
6849.05,17.49
6849.05,17.29
6854.11,17.73
6865.49,18.27
6897.1,18.48
6940.1,18.45
6942.99,18
6965.4,17.76
6976.53,17.45
6980.57,17.21
7010.93,17.43
7012.95,17.75
7015.42,18.29
7026.1,18.62
7036.94,18.9
7075.97,19.1
7109.57,19.29
7155.94,19.41
7197.38,19.17
7229.18,18.95
7289.16,18.89
7347.69,18.78
7370.1,18.58
7380.22,18.39
7404.5,18.18
7415.63,18.72
7425.74,18.49
7435.86,18.26
7461.16,20.07
7482.65,19.77
7491.51,19.51
7503.31,19.29
7521.86,19.07
7524.03,18.87
7586.5,18.75
7638.21,18.88
7676.15,19.11
7726.23,19.25
7775.52,19.13
7805.15,18.98
7836.23,18.78
7845.62,18.53
7854.73,18.35
7866.58,18.12
7891.15,17.85
7896.93,17.61
7919.25,17.31
7949.32,17.06
8000.42,16.89
8012.56,17.19
8017.62,17.48
8041.47,17.82
8042.91,17.99
8056.82,18.23
8066.94,18.54
8077.06,18.86
8089,19.18
8091.81,19.47
8108.67,19.8
8113.73,20.1
8123.85,20.31
8128.91,20.52
8142.64,20.69
8199.73,20.6
8230.08,20.45
8281.4,20.26
8312.04,20.12
8371.73,20.14
8432.43,20.25
8494.83,20.29
8512.65,19.98
8515.06,19.25
8518.43,19.47
8521.81,19.7
8528.55,19.03
8528.55,18.82
8528.55,18.62
8528.55,18.455
8538.67,18.18
8538.67,17.97
8538.67,17.76
8538.67,17.56
8548.79,17.13
8548.79,17.33
8553.84,16.9
8563.96,16.69
8585.46,16.46
8616.24,16.35
8643.22,16.65
8662.61,16.98
8684.81,17.28
8703.08,17.61
8710.67,17.77
8725.84,17.88
8734.27,18.22
8735.96,18.43
8745.52,18.64
8777.15,18.9
8820.95,19.01
8857.37,18.99
8865.8,18.67
8881.4,18.42
8938.31,18.54
8983.84,18.55
8990.58,18.32
9012.17,18.14
9038.22,17.87
9059.72,17.65
9088.39,17.4
9122.72,17.15
9150.78,17
9160.89,17.18
9181.13,17.44
9203.53,17.71
9233.4,17.96
9262.07,18.26
9282.3,18.44
9312.66,18.57
9343.73,18.35
9375.53,18.1
9396.63,17.92
9424.67,17.72
9455.02,17.48
9490.98,17.22
9504.89,17.05
9535.8,16.83
9578.52,16.57
9590.89,16.29
9601.01,16.07
9608.23,15.87
9614.01,15.6
9636.42,15.42
9697.12,15.34
9759.51,15.26
9818.53,15.43
9876.71,15.56
9910.31,15.77
9931.99,16.01
9956.8,16.23
9982.94,16.47
10002.81,16.71
10029.73,16.93
10038.59,17.16
10041.12,17.4
10044.49,17.68
10055.28,17.97
10101.82,18.22
10152.41,18.42
10200.47,18.63
10265.39,18.71
10302.91,18.99
10326.57,19.18
10367.41,19
10394.51,18.79
10414.9,18.5
10425.58,18.22
10428.95,18.01
10453.91,17.51
10481.23,17.39
10501.46,17.57
10509.56,17.75
10511.58,17.99
10511.58,17.39
10514.95,18.28
10525.49,18.63
10539.17,18.96
10550.6,19.25
10582.4,19.26
10602.64,18.18
10611.63,18.37
10650.47,18.71
10668.4,19
10697.07,18.77
10708.87,18.51
10713.93,18.17
10713.93,17.89
10724.05,17.65
10735.61,17.41
10749.34,17.13
10784.75,17.2
10799.93,17.51
10823.78,17.81
10849.25,18.11
10870.75,18.37
10896.04,18.52
10936.51,18.45
10943.26,18.24
10964.84,18.07
10990.47,17.82
11034.01,17.6
11071.41,17.69
11073.1,18.35
11083.22,18.56
11143.92,18.54
11204.63,18.47
11265.33,18.4
11331.1,18.46
11387.47,18.61
11447.45,18.72
11508.15,18.75
11568.86,18.79
11628.84,18.84
11690.27,18.92
11750.97,18.87
11795.49,18.69
11847.09,18.55
11872.38,18.41
11908.92,18.21
11917.91,17.72
11917.91,17.93
11919.36,17.5
11928.03,17.27
11928.03,17.06
11928.03,16.86
11928.03,16.65
11934.77,16
11938.15,16.43
11938.15,16.23
11944.89,15.31
11948.26,15.53
11949.95,15.76
11958.38,14.88
11958.38,14.67
11963.44,15.08
11963.44,14.45
11969.94,13.79
11973.56,14
11977.17,14.23
11983.68,13.26
11983.68,13.06
11984.24,13.52
11988.73,12.33
11990.18,13.44
11993.79,12.52
11996.6,12.78
12019.09,13.365
12019.09,13.50625
12019.09,14.71
12019.09,14.51
12019.09,13.04
12019.09,13.25
12019.09,13.92
12024.15,13.49
12024.15,14.22
12029.2,15.81
12032.58,15.65
12032.58,16.09
12041.01,16.39
12049.44,16.65
12064.62,16.84
12071.92,17.13
12087.02,17.46
12105.09,17.71
12149.6,17.9
12204.88,18.15
12253.48,18.18
12272.02,18
12287.2,17.78
12300.93,17.58
12319.72,17.36
12337.79,17.12
12355.86,16.9
12383.32,16.74
12390.9,16.59
12418.73,16.85
12421.26,17.1
12428.85,17.35
12438.96,17.58
12464.26,17.81
12517.88,18
12535.08,18.18
12540.14,18.41
12560.37,18.77
12594.77,19.1
12626.14,19.21
