,Date image,no-data: 0,non-water: 1,water: 2
0,1987_12_01_training_r24,0,10551,447515
1,1988_01_01_training_r24,0,57312,407883
2,1988_02_01_training_r24,0,30551,432341
3,1988_03_01_training_r24,0,500000,0
4,1988_04_01_training_r24,0,488196,3197
5,1988_05_01_training_r24,0,500000,0
6,1988_06_01_training_r24,0,500000,0
7,1988_07_01_training_r24,0,187126,179979
8,1988_08_01_training_r24,0,499344,656
9,1988_09_01_training_r24,0,500000,0
10,1988_10_01_training_r24,0,500000,0
11,1988_11_01_training_r24,0,500000,0
12,1988_12_01_training_r24,0,38720,409740
13,1989_01_01_training_r24,0,115879,343239
14,1989_02_01_training_r24,0,42264,413221
15,1989_03_01_training_r24,0,13859,446479
16,1989_04_01_training_r24,0,497558,2442
17,1989_05_01_training_r24,0,499998,2
18,1989_06_01_training_r24,0,500000,0
19,1989_07_01_training_r24,0,500000,0
20,1989_08_01_training_r24,0,106402,267290
21,1989_09_01_training_r24,0,500000,0
22,1989_10_01_training_r24,0,496368,2330
23,1989_11_01_training_r24,0,99818,347240
24,1989_12_01_training_r24,0,493715,5368
25,1990_01_01_training_r24,0,188197,278136
26,1990_02_01_training_r24,0,179813,278089
27,1990_03_01_training_r24,0,7913,455159
28,1990_04_01_training_r24,0,59815,388641
29,1990_05_01_training_r24,0,6607,396730
30,1990_06_01_training_r24,0,500000,0
31,1990_07_01_training_r24,0,500000,0
32,1990_08_01_training_r24,0,500000,0
33,1990_09_01_training_r24,0,500000,0
34,1990_10_01_training_r24,0,500000,0
35,1990_11_01_training_r24,0,500000,0
36,1990_12_01_training_r24,0,500000,0
37,1991_01_01_training_r24,0,9871,459812
38,1991_02_01_training_r24,0,500000,0
39,1991_03_01_training_r24,0,500000,0
40,1991_04_01_training_r24,0,3991,439316
41,1991_05_01_training_r24,0,500000,0
42,1991_06_01_training_r24,0,500000,0
43,1991_07_01_training_r24,0,500000,0
44,1991_08_01_training_r24,0,500000,0
45,1991_09_01_training_r24,0,500000,0
46,1991_10_01_training_r24,0,91721,326672
47,1991_11_01_training_r24,0,41570,408683
48,1991_12_01_training_r24,0,58470,392468
49,1992_01_01_training_r24,0,299003,158174
50,1992_02_01_training_r24,0,500000,0
51,1992_03_01_training_r24,0,499920,80
52,1992_04_01_training_r24,0,166638,267356
