,Date image,no-data: 0,non-water: 1,water: 2
1,1988_01_01_training_r1,29665,399386,70949
2,1988_02_01_training_r1,46438,389517,64045
6,1988_06_01_training_r1,178312,222054,99634
13,1989_01_01_training_r1,38165,386122,75713
14,1989_02_01_training_r1,74698,356001,69301
16,1989_04_01_training_r1,34608,398776,66616
22,1989_10_01_training_r1,137464,218251,144285
25,1990_01_01_training_r1,144324,286486,69190
36,1990_12_01_training_r1,100549,327339,72112
38,1991_02_01_training_r1,158736,262545,78719
40,1991_04_01_training_r1,105180,319764,75056
41,1991_05_01_training_r1,213708,220575,65717
43,1991_07_01_training_r1,216477,127542,155981
48,1991_12_01_training_r1,38769,384022,77209
69,1993_09_01_training_r1,44605,289220,166175
71,1993_11_01_training_r1,28143,382676,89181
83,1994_11_01_training_r1,167421,279253,53326
84,1994_12_01_training_r1,63462,366217,70321
85,1995_01_01_training_r1,151364,293445,55191
106,1996_10_01_training_r1,65086,290765,144149
109,1997_01_01_training_r1,27719,405565,66716
141,1999_09_01_training_r1,121339,197864,180797
146,2000_02_01_training_r1,122814,309110,68076
148,2000_04_01_training_r1,46991,395742,57267
149,2000_05_01_training_r1,56416,330330,113254
153,2000_09_01_training_r1,26884,291715,181401
158,2001_02_01_training_r1,200318,238743,60939
159,2001_03_01_training_r1,71848,375440,52712
160,2001_04_01_training_r1,187749,256824,55427
166,2001_10_01_training_r1,154698,212284,133018
168,2001_12_01_training_r1,21169,407924,70907
170,2002_02_01_training_r1,39889,401720,58391
172,2002_04_01_training_r1,72084,355667,72249
182,2003_02_01_training_r1,88474,344886,66640
185,2003_05_01_training_r1,132896,287568,79536
191,2003_11_01_training_r1,34220,366799,98981
193,2004_01_01_training_r1,175509,263971,60520
194,2004_02_01_training_r1,73545,361780,64675
204,2004_12_01_training_r1,18102,389986,91912
205,2005_01_01_training_r1,141681,273879,84440
206,2005_02_01_training_r1,37681,392906,69413
207,2005_03_01_training_r1,55523,361987,82490
213,2005_09_01_training_r1,128762,210747,160491
214,2005_10_01_training_r1,167497,244020,88483
217,2006_01_01_training_r1,154397,273249,72354
219,2006_03_01_training_r1,72222,371782,55996
228,2006_12_01_training_r1,52345,355390,92265
230,2007_02_01_training_r1,147281,303760,48959
238,2007_10_01_training_r1,82866,309450,107684
239,2007_11_01_training_r1,37890,353178,108932
241,2008_01_01_training_r1,122824,301064,76112
244,2008_04_01_training_r1,31071,384524,84405
249,2008_09_01_training_r1,120202,177037,202761
251,2008_11_01_training_r1,24084,375146,100770
253,2009_01_01_training_r1,114649,318420,66931
254,2009_02_01_training_r1,34417,405546,60037
259,2009_07_01_training_r1,67496,272078,160426
265,2010_01_01_training_r1,116492,323967,59541
266,2010_02_01_training_r1,120733,324318,54949
267,2010_03_01_training_r1,23308,422996,53696
268,2010_04_01_training_r1,128337,303626,68037
269,2010_05_01_training_r1,55714,322614,121672
272,2010_08_01_training_r1,202668,154096,143236
276,2010_12_01_training_r1,116944,305294,77762
278,2011_02_01_training_r1,106507,322502,70991
279,2011_03_01_training_r1,34847,413798,51355
280,2011_04_01_training_r1,26582,403745,69673
285,2011_09_01_training_r1,20169,334343,145488
290,2012_02_01_training_r1,163559,286534,49907
292,2012_04_01_training_r1,107529,329290,63181
298,2012_10_01_training_r1,104658,217019,178323
299,2012_11_01_training_r1,90574,338094,71332
303,2013_03_01_training_r1,74852,384635,40513
304,2013_04_01_training_r1,173849,287107,39044
308,2013_08_01_training_r1,156723,227271,116006
309,2013_09_01_training_r1,25179,274748,200073
310,2013_10_01_training_r1,42199,345452,112349
314,2014_02_01_training_r1,51664,376077,72259
317,2014_05_01_training_r1,28288,377589,94123
321,2014_09_01_training_r1,91763,215217,193020
323,2014_11_01_training_r1,68035,352089,79876
324,2014_12_01_training_r1,31135,401442,67423
326,2015_02_01_training_r1,163808,295871,40321
328,2015_04_01_training_r1,62284,377102,60614
330,2015_06_01_training_r1,133461,272845,93694
331,2015_07_01_training_r1,33929,334850,131221
333,2015_09_01_training_r1,33169,250684,216147
336,2015_12_01_training_r1,134366,300057,65577
337,2016_01_01_training_r1,72925,368877,58198
344,2016_08_01_training_r1,32061,217197,250742
345,2016_09_01_training_r1,166984,181891,151125
349,2017_01_01_training_r1,20838,419003,60159
353,2017_05_01_training_r1,98926,305755,95319
354,2017_06_01_training_r1,204353,192051,103596
356,2017_08_01_training_r1,200456,59947,239597
360,2017_12_01_training_r1,42834,377507,79659
369,2018_09_01_training_r1,33316,251803,214881
373,2019_01_01_training_r1,27611,406884,65505
374,2019_02_01_training_r1,202484,241824,55692
378,2019_06_01_training_r1,20183,354754,125063
379,2019_07_01_training_r1,158965,126716,214319
380,2019_08_01_training_r1,160003,218108,121889
381,2019_09_01_training_r1,129613,224160,146227
384,2019_12_01_training_r1,43503,382246,74251
385,2020_01_01_training_r1,163555,270994,65451
386,2020_02_01_training_r1,66166,370917,62917
389,2020_05_01_training_r1,22013,397439,80548
390,2020_06_01_training_r1,207281,174854,117865
393,2020_09_01_training_r1,121993,179629,198378
394,2020_10_01_training_r1,20233,322757,157010
397,2021_01_01_training_r1,20145,411011,68844
398,2021_02_01_training_r1,97059,339662,63279
399,2021_03_01_training_r1,34553,414264,51183
401,2021_05_01_training_r1,222776,200795,76429
406,2021_10_01_training_r1,20203,352759,127038
408,2021_12_01_training_r1,46973,383511,69516
410,1988_01_01_training_r2,27045,400067,72888
411,1988_02_01_training_r2,42365,391580,66055
422,1989_01_01_training_r2,48742,373022,78236
423,1989_02_01_training_r2,68900,360700,70400
425,1989_04_01_training_r2,27331,404536,68133
431,1989_10_01_training_r2,144217,207243,148540
434,1990_01_01_training_r2,142117,288206,69677
445,1990_12_01_training_r2,90510,336211,73279
447,1991_02_01_training_r2,148356,273699,77945
449,1991_04_01_training_r2,138698,287935,73367
452,1991_07_01_training_r2,216518,123979,159503
457,1991_12_01_training_r2,36120,386455,77425
478,1993_09_01_training_r2,44941,285175,169884
480,1993_11_01_training_r2,27601,380899,91500
492,1994_11_01_training_r2,155591,288631,55778
493,1994_12_01_training_r2,56462,370655,72883
494,1995_01_01_training_r2,142286,300336,57378
515,1996_10_01_training_r2,51176,297669,151155
518,1997_01_01_training_r2,26318,404227,69455
550,1999_09_01_training_r2,100276,209912,189812
555,2000_02_01_training_r2,123663,304569,71768
557,2000_04_01_training_r2,44141,394398,61461
558,2000_05_01_training_r2,64150,317181,118669
562,2000_09_01_training_r2,32558,276749,190693
567,2001_02_01_training_r2,213581,223526,62893
568,2001_03_01_training_r2,42997,401196,55807
569,2001_04_01_training_r2,180457,259481,60062
