Code	ID	BCE loss	Accuracy	Precision	Recall	F1 Score	CSI Score
0	Original	2.54E-01	0.9	0.537	0.871	0.664	0.497
1	25D	1.45E-01	0.933	0.681	0.776	0.725	0.569
2	Semi3D	1.67E-01	0.923	0.62	0.831	0.709	0.55
3	Bottleneck3D	4.24E-01	0.823	0.385	0.948	0.548	0.377
4	AddLayer	1.77E-01	0.921	0.627	0.753	0.684	0.52
5	Batch4	1.79E-01	0.916	0.593	0.841	0.695	0.533
6	Batch32	5.38E+00	0.628	0.233	0.992	0.378	0.233
7	HidLayer32	1.67E-01	0.922	0.613	0.833	0.706	0.546
8	HidLayer64	8.72E+01	0.123	0.114	0.998	0.205	0.114
9	5to1	1.53E-01	0.929	0.632	0.832	0.718	0.56
10	3to1	1.53E-01	0.929	0.653	0.805	0.721	0.564
11	2to1	2.19E-01	0.902	0.545	0.885	0.674	0.509
12	1to1	1.91E-01	0.918	0.609	0.792	0.688	0.525
13	30full	1.58E-01	0.928	0.64	0.837	0.725	0.569
14	30fullAddLayer	1.64E-01	0.921	0.607	0.85	0.708	0.548
15	30_split_trainval	1.58E-01	0.927	0.639	0.827	0.721	0.564
16	30full_32hid	1.57E-01	0.928	0.64	0.837	0.725	0.569
17	Batch4_25D	1.68E-01	0.918	0.6	0.835	0.698	0.536
18	Batch32_25D	1.98E-01	0.922	0.62	0.811	0.703	0.541
19	HidLayer32_25D	1.46E-01	0.933	0.676	0.78	0.724	0.568
20	30_split_train	1.72E-01	0.931	0.662	0.795	0.722	0.565
